Publisher,SourceRepository,YearPublished
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Umeå University,DORIS,2024
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2019
University of Gothenburg,DORIS,2020
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Luleå University of Technology,DORIS,2025
Luleå University of Technology,DORIS,2025
Luleå University of Technology,DORIS,2025
Chalmers University of Technology,DORIS,2023
Karolinska Institutet,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2024
Jönköping University,DORIS,2022
Luleå University of Technology,DORIS,2023
Lund University,DORIS,2015
Luleå University of Technology,DORIS,2023
Kristianstad University,DORIS (only metadata),2019
Uppsala University,DORIS (only metadata),2020
University of Gothenburg,DORIS,2018
Swedish University of Agricultural Sciences,DORIS,2021
Lund University,DORIS,2022
Lund University,DORIS,2015
University of Gothenburg,DORIS,2015
Uppsala University,DORIS,2019
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2019
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2020
Linköping University,DORIS (only metadata),2019
University of Gothenburg,DORIS,2020
University of Gothenburg,DORIS,2020
Linköping University,DORIS (only metadata),2020
University of Gothenburg,DORIS,2020
Huddinge municipality,DORIS,2020
Royal Institute of Technology,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2020
Royal Institute of Technology,DORIS,2020
Stockholm University,DORIS (only metadata),2021
University of Gothenburg,DORIS,2021
Uppsala University,DORIS,2017
Uppsala University,DORIS,2021
Uppsala University,DORIS (only metadata),2022
Uppsala University,DORIS,2023
Uppsala University,DORIS,2025
Luleå University of Technology,DORIS,2024
Stockholm University,DORIS,2022
University of Gothenburg,DORIS,2022
Luleå University of Technology,DORIS,2024
Lund University,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2025
Chalmers University of Technology,DORIS,2025
Statistics Sweden,DORIS,1988
Uppsala University,DORIS,1987
Statistics Sweden,DORIS,1988
Uppsala University,DORIS,1986
Uppsala University,DORIS,1992
Statistics Sweden,DORIS,1988
Statistics Sweden,DORIS,1988
Uppsala University,DORIS,1984
Uppsala University,DORIS,1992
Uppsala University,DORIS,1992
University of Gothenburg,DORIS,2018
Uppsala University,DORIS,1992
Uppsala University,DORIS,1984
Uppsala University,DORIS,1993
Uppsala University,DORIS,1993
Uppsala University,DORIS,1993
Radio Sweden,DORIS,1984
University of Gothenburg,DORIS,1982
Arbetslivsinstitutet,DORIS,2006
University of Gothenburg,DORIS,2007
Uppsala University,DORIS,2005
Institute for Future Studies,DORIS,2005
Södertörns högskola,DORIS,2002
University of Gothenburg,DORIS,2007
University of Gothenburg,DORIS,1982
Uppsala University,DORIS,1984
Uppsala University,DORIS,1991
University of Gothenburg,DORIS,2013
University of Gothenburg,DORIS,1984
Uppsala University,DORIS,1993
Arbetslivsinstitutet,DORIS,2007
Uppsala University,DORIS,2005
Uppsala University,DORIS,2005
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Swedish Working Life Fund ,DORIS,1996
Gallup Europe,DORIS,1993
Jung-Ang Daily News,DORIS,1992
Institute for Korean Election Studies,DORIS,1992
Swedish Institute of Public Opinion Research,DORIS,1993
Korea Research Gallup Polls Ltd.,DORIS,1992
Swedish Institute of Public Opinion Research,DORIS,1993
Swedish Institute of Public Opinion Research,DORIS,1993
Swedish Institute of Public Opinion Research,DORIS,1993
Swedish Institute of Public Opinion Research,DORIS,1993
University of Gothenburg,DORIS,1999
University of Gothenburg,DORIS,1999
University of Gothenburg,DORIS,1999
University of Gothenburg,DORIS,1999
University of Gothenburg,DORIS,1999
Uppsala University,DORIS,1993
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2018
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2020
Uppsala University,DORIS,2018
Uppsala University,DORIS,2014
University of Gothenburg,DORIS (only metadata),2016
Umeå University,DORIS,2016
Lund University,DORIS,2016
Umeå University,DORIS (only metadata),2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2014
Uppsala University,DORIS,2017
Uppsala University,DORIS,2017
Uppsala University,DORIS,2014
Uppsala University,DORIS,2016
Uppsala University,DORIS,2016
Uppsala University,DORIS,2014
Uppsala University,DORIS,2016
Lund University,DORIS,2016
Uppsala University,DORIS,2014
University of Gothenburg,DORIS,2015
University of Gothenburg,DORIS (only metadata),2014
University of Gothenburg,DORIS,2015
Lund University,DORIS,2015
University of Gothenburg,DORIS (only metadata),2014
University of Gothenburg,DORIS,2015
Uppsala University,DORIS,2014
University of Gothenburg,DORIS (only metadata),2014
Umeå University,DORIS (only metadata),2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Linköping University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2015
University of Gothenburg,DORIS (only metadata),2014
Kristianstad University,DORIS (only metadata),2015
Kristianstad University,DORIS (only metadata),2015
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2013
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Lund University,DORIS,2014
Stockholm University,DORIS,2014
"KN 2023:01, Utredningen om havsbaserad vindkraft",DORIS,2024
University of Gothenburg,DORIS,1992
University of Gothenburg,DORIS,1983
University of Gothenburg,DORIS,2001
Arbetslivsinstitutet,DORIS,2006
University of Gothenburg,DORIS,2002
University of Gothenburg,DORIS,2002
University of Gothenburg,DORIS,2002
Uppsala University,DORIS,1985
Uppsala University,DORIS,1983
Uppsala University,DORIS,1986
Arbetslivsinstitutet,DORIS,2006
Arbetslivsinstitutet,DORIS,2015
Arbetslivsinstitutet,DORIS,2007
University of Gothenburg,DORIS,1997
University of Gothenburg,DORIS,1995
Stockholm University,DORIS,1988
Stockholm University,DORIS,1989
University of Gothenburg,DORIS,2015
University of Gothenburg,DORIS (only metadata),1995
Religionssociologiska institutet,DORIS,2013
Religionssociologiska institutet,DORIS,2013
University of Gothenburg,DORIS (only metadata),1995
Religionssociologiska institutet,DORIS,2013
Lund University,DORIS (only metadata),2017
University of Gothenburg,DORIS,2018
​SAMBAH – Static Acoustic Monitoring of the Baltic Sea Harbour Porpoise,DORIS,2017
​SAMBAH – Static Acoustic Monitoring of the Baltic Sea Harbour Porpoise,DORIS,2017
Lund University,DORIS,2017
Umeå University,DORIS,2022
Umeå University,DORIS,2022
Umeå University,DORIS,2022
Umeå University,DORIS,2022
Umeå University,DORIS,2022
Umeå University,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2022
RISE Research Institutes of Sweden,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2021
Uppsala University,DORIS (only metadata),2020
National Food Agency,DORIS (only metadata),2016
National Food Agency,DORIS (only metadata),2021
National Food Agency,DORIS (only metadata),2016
Karolinska Institutet,DORIS,2024
University of Gothenburg,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2023
Swedish University of Agricultural Sciences,DORIS,2025
Lund University,DORIS,2021
Swedish Museum of Natural History,DORIS,2025
Lund University,DORIS,2025
Södertörns högskola,DORIS,2025
Uppsala University,DORIS,2018
Swedish University of Agricultural Sciences,DORIS (only metadata),2019
Uppsala University,DORIS (only metadata),2021
Uppsala University,DORIS (only metadata),2016
Linköping University,DORIS (only metadata),2017
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Statistics Sweden,DORIS (only metadata),2011
University of Skövde,DORIS,2020
Stockholm University,DORIS (only metadata),2020
Chalmers University of Technology,DORIS,2020
University of Gothenburg,DORIS,2023
Stockholm University,DORIS,2020
University of Gothenburg,DORIS (only metadata),2021
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Chalmers University of Technology,DORIS,2020
Chalmers University of Technology,DORIS,2020
Chalmers University of Technology,DORIS,2020
Chalmers University of Technology,DORIS,2020
Chalmers University of Technology,DORIS,2020
Chalmers University of Technology,DORIS,2020
University of Gothenburg,DORIS,1994
Stiftelsen för opinionsanalyser,DORIS,1984
University of Gothenburg,DORIS,1997
Swedish Transport Administration,DORIS,1997
IMU-Testologen AB,DORIS,1986
Swedish Transport Administration,DORIS,1996
Statistics Sweden,DORIS,1987
Radio Sweden,DORIS,1998
Swedish Transport Administration,DORIS,1997
Swedish Transport Administration,DORIS,1997
Statistics Sweden,DORIS,1996
Statistics Sweden,DORIS,1999
IMU-Testologen AB,DORIS,1986
Lund University,DORIS,1982
Statistics Sweden,DORIS,1999
Swedish Transport Administration,DORIS,1997
Swedish Transport Administration,DORIS,1997
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Karolinska Institutet,DORIS (only metadata),2025
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Karolinska Institutet,DORIS (only metadata),2025
Karolinska Institutet,DORIS (only metadata),2025
University of Gothenburg,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2024
Karolinska Institutet,DORIS,2024
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2024
University of Gothenburg,DORIS,2024
Karolinska Institutet,DORIS,2024
University of Gothenburg,DORIS,2025
University of Gothenburg,DORIS (only metadata),2020
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Region Skåne,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Region Skåne,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2020
University of Gothenburg,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Swedish Transport Administration,DORIS,2001
Swedish Transport Administration,DORIS,1996
University of Gothenburg,DORIS,1986
Statistics Sweden,DORIS,1989
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,2002
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,2002
Swedish Transport Administration,DORIS,2002
Swedish Transport Administration,DORIS,1996
Statistics Sweden,DORIS,1993
Statistics Sweden,DORIS,1989
Karolinska Institutet,DORIS (only metadata),2024
Karolinska Institutet,DORIS (only metadata),2025
Sveriges Television,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2025
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Chalmers University of Technology,DORIS,2024
Karolinska Institutet,DORIS (only metadata),2024
Karolinska Institutet,DORIS,2024
Karolinska Institutet,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2025
University of Gothenburg,DORIS,2024
Institute for Language and Folklore,DORIS (only metadata),2020
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
University of Gothenburg,DORIS (only metadata),2020
University of Gothenburg,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2014
Region Skåne,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
University of Gothenburg,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Region Skåne,DORIS (only metadata),2014
Lund University,DORIS (only metadata),2014
FoU Spenshult,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
University of Gothenburg,DORIS,1999
University of Gothenburg,DORIS,2001
University of Gothenburg,DORIS,2000
University of Gothenburg,DORIS,2004
University of Gothenburg,DORIS,2005
University of Gothenburg,DORIS,2000
Umeå University,DORIS,1986
University of Gothenburg,DORIS,2004
University of Gothenburg,DORIS,2001
University of Gothenburg,DORIS,2001
University of Gothenburg,DORIS,2001
University of Gothenburg,DORIS,2001
Swedish Transport Administration,DORIS,2002
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
IMU-Testologen AB,DORIS,1983
IMU-Testologen AB,DORIS,1983
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,2002
Swedish Transport Administration,DORIS,1996
Swedish Transport Administration,DORIS,2002
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1998
University of Gothenburg,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2022
University of Gothenburg,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
Lund University,DORIS (only metadata),2014
The Norwegian University of Science and Technology (NTNU),DORIS (only metadata),2023
Lund University,DORIS (only metadata),2014
Jönköping University,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
Jönköping University,DORIS (only metadata),2022
Swedish Polar Research Secretariat,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
Jönköping University,DORIS (only metadata),2022
Jönköping University,DORIS (only metadata),2022
The Norwegian University of Science and Technology (NTNU),DORIS (only metadata),2023
Lund University,DORIS (only metadata),2014
Stockholm University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2015
Lund University,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Lund University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Radio Sweden,DORIS,1984
Statistics Sweden,DORIS,1989
Radio Sweden,DORIS,1984
Radio Sweden,DORIS,1984
Radio Sweden,DORIS,1984
The Norwegian University of Science and Technology (NTNU),DORIS (only metadata),2023
Galway-Mayo Institute of Technology,DORIS (only metadata),2023
Umeå University,DORIS (only metadata),2014
IMU-Testologen AB,DORIS,1986
IMU-Testologen AB,DORIS,1986
Statistics Sweden,DORIS,1989
Statistics Sweden,DORIS,1999
IMU-Testologen AB,DORIS,1986
The Norwegian University of Science and Technology (NTNU),DORIS (only metadata),2023
The Norwegian University of Science and Technology (NTNU),DORIS (only metadata),2023
Chalmers University of Technology,DORIS (only metadata),2023
Chalmers University of Technology,DORIS (only metadata),2023
Chalmers University of Technology,DORIS (only metadata),2023
Public Health Agency of Sweden,DORIS (only metadata),2014
Stockholm Gerontology Research Center Foundation,DORIS (only metadata),2022
Karolinska Institutet,DORIS (only metadata),2022
Stockholm University,DORIS (only metadata),2015
Jönköping University,DORIS (only metadata),2022
Stockholm University,DORIS (only metadata),2015
SHARE ERIC,DORIS (only metadata),2021
SHARE ERIC,DORIS (only metadata),2021
Public Health Agency of Sweden,DORIS (only metadata),2014
Blekinge Institute of Technology,DORIS (only metadata),2022
Public Health Agency of Sweden,DORIS (only metadata),2014
Lund University,DORIS (only metadata),2021
SHARE ERIC,DORIS (only metadata),2021
Stockholm University,DORIS (only metadata),2015
Public Health Agency of Sweden,DORIS (only metadata),2014
SHARE ERIC,DORIS (only metadata),2021
SHARE ERIC,DORIS (only metadata),2021
Karolinska Institutet,DORIS (only metadata),2015
Karolinska Institutet,DORIS (only metadata),2018
Swedish University of Agricultural Sciences,DORIS,2025
Institute for Language and Folklore,DORIS (only metadata),2023
Swedish University of Agricultural Sciences,DORIS,2025
Statistics Sweden,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Institute for Language and Folklore,DORIS (only metadata),2020
Swedish University of Agricultural Sciences,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Institute for Language and Folklore,DORIS (only metadata),2023
Institute for Language and Folklore,DORIS (only metadata),2023
University of Gothenburg,DORIS,2025
Institute for Language and Folklore,DORIS (only metadata),2023
Umeå University,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2023
Swedish University of Agricultural Sciences,DORIS,2025
University of Gothenburg,DORIS,2025
Institute for Language and Folklore,DORIS (only metadata),2023
Swedish Polar Research Secretariat,DORIS,2024
University of Gothenburg,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2024
Karolinska Institutet,DORIS (only metadata),2025
Swedish Polar Research Secretariat,DORIS,2025
University of Gothenburg,DORIS,2025
Karolinska Institutet,DORIS (only metadata),2025
University of Gothenburg,DORIS,2025
University of Gothenburg,DORIS,2025
University of Gothenburg,DORIS,2025
University of Gothenburg,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Public Health Agency of Sweden,DORIS (only metadata),2014
Karolinska Institutet,DORIS (only metadata),2022
University of Gothenburg,DORIS (only metadata),2022
Public Health Agency of Sweden,DORIS (only metadata),2014
SHARE ERIC,DORIS (only metadata),2020
Public Health Agency of Sweden,DORIS (only metadata),2014
SHARE ERIC,DORIS (only metadata),2020
Public Health Agency of Sweden,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Public Health Agency of Sweden,DORIS (only metadata),2014
Public Health Agency of Sweden,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2023
Umeå University,DORIS (only metadata),2022
Lund University,DORIS (only metadata),2014
Lund University,DORIS (only metadata),2014
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Uppsala University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Uppsala University,DORIS (only metadata),2015
Public Health Agency of Sweden,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Karolinska Institutet,DORIS (only metadata),2015
Karolinska Institutet,DORIS (only metadata),2015
Public Health Agency of Sweden,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Institute for Language and Folklore,DORIS (only metadata),2020
Swedish University of Agricultural Sciences,DORIS (only metadata),2023
Umeå University,DORIS (only metadata),2018
Swedish University of Agricultural Sciences,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2024
Linköping University,DORIS,2019
Linnaeus University,DORIS,2019
Linköping University,DORIS,2019
Linköping University,DORIS,2021
Mid Sweden University,DORIS,2023
Lund University,DORIS,2025
University of Gothenburg,DORIS,2025
Uppsala University,DORIS,2025
Mid Sweden University,DORIS,2021
Mid Sweden University,DORIS,2021
Mid Sweden University,DORIS,2025
University of Gothenburg,DORIS,2013
University of Gothenburg,DORIS,2014
Södertörns högskola,DORIS,2023
Luleå University of Technology,DORIS,2022
Stockholm University,DORIS,2019
Stockholm University,DORIS,2022
Swedish Defence University,DORIS,2023
Swedish Geotechnical Institute,DORIS,2025
Swedish Geotechnical Institute,DORIS,2025
University of Gothenburg,DORIS,2025
Uppsala University,DORIS,2021
Uppsala University,DORIS,2016
Stockholm University,DORIS,2025
Umeå University,DORIS (only metadata),2019
Umeå University,DORIS,2021
Karolinska Institutet,DORIS,2022
University of Gothenburg,DORIS,2024
Swedish University of Agricultural Sciences,DORIS (only metadata),2022
Karolinska Institutet,DORIS,2023
Umeå University,DORIS (only metadata),2021
Karolinska Institutet,DORIS,2021
Umeå University,DORIS (only metadata),2013
Swedish University of Agricultural Sciences,DORIS,2024
Malmö University,DORIS (only metadata),2020
Umeå University,DORIS (only metadata),2020
Linköping University,DORIS,2022
Linköping University,DORIS,2023
Linköping University,DORIS,2021
Linköping University,DORIS,2022
Karlstad University,DORIS,2017
Uppsala University,DORIS,2018
Linköping University,DORIS,2022
Linköping University,DORIS,2022
Malmö University,DORIS,2020
Mid Sweden University,DORIS,2021
Malmö University,DORIS,2020
Malmö University,DORIS,2020
Uppsala University,DORIS,2023
Uppsala University,DORIS,2022
Linnaeus University,DORIS,2019
Mid Sweden University,DORIS,2022
Linköping University,DORIS,2021
Uppsala University,DORIS,2022
Mid Sweden University,DORIS,2019
Linköping University,DORIS,2020
Uppsala University,DORIS,2023
Mid Sweden University,DORIS,2018
Arbetslivsinstitutet,DORIS,2018
Linköping University,DORIS,2019
Blekinge Institute of Technology,DORIS,2019
Linköping University,DORIS,2022
Mid Sweden University,DORIS,2021
Uppsala University,DORIS,2022
Luleå University of Technology,DORIS,2017
Linköping University,DORIS,2023
Linköping University,DORIS (only metadata),2023
Arbetslivsinstitutet,DORIS,2025
Arbetslivsinstitutet,DORIS,2013
Arbetslivsinstitutet,DORIS,2006
Arbetslivsinstitutet,DORIS,2013
Arbetslivsinstitutet,DORIS,2006
Arbetslivsinstitutet,DORIS,2025
Arbetslivsinstitutet,DORIS,2007
Arbetslivsinstitutet,DORIS,2007
Swedish University of Agricultural Sciences,DORIS,2025
Karolinska Institutet,DORIS,2025
Chalmers University of Technology,DORIS,2025
University of Gothenburg,DORIS,2025
University of Gothenburg,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2024
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2025
Karolinska Institutet,DORIS,2024
Public Health Agency of Sweden,DORIS (only metadata),2017
Uppsala University,DORIS (only metadata),2015
Public Health Agency of Sweden,DORIS (only metadata),2017
Karolinska Institutet,DORIS (only metadata),2015
